release_year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,popular_genre,max_mean
1986,0.24793388429752067,0.14049586776859505,0.05785123966942149,0.4049586776859504,0.1487603305785124,0.0,0.4214876033057851,0.10743801652892562,0.09090909090909091,0.0,0.024793388429752067,0.24793388429752067,0.049586776859504134,0.05785123966942149,0.2066115702479339,0.17355371900826447,0.0,0.19008264462809918,0.03305785123966942,0.008264462809917356,Drama,0.4214876033057851
1987,0.232,0.136,0.032,0.456,0.168,0.0,0.416,0.128,0.144,0.0,0.024,0.2,0.032,0.056,0.192,0.144,0.016,0.224,0.048,0.008,Comedy,0.456
1988,0.2206896551724138,0.10344827586206896,0.04827586206896552,0.47586206896551725,0.14482758620689656,0.034482758620689655,0.3724137931034483,0.11724137931034483,0.1103448275862069,0.006896551724137931,0.027586206896551724,0.2482758620689655,0.05517241379310345,0.06206896551724138,0.1310344827586207,0.12413793103448276,0.013793103448275862,0.22758620689655173,0.041379310344827586,0.0,Comedy,0.47586206896551725
1989,0.27941176470588236,0.17647058823529413,0.03676470588235294,0.4632352941176471,0.18382352941176472,0.014705882352941176,0.39705882352941174,0.125,0.11764705882352941,0.014705882352941176,0.029411764705882353,0.18382352941176472,0.022058823529411766,0.058823529411764705,0.16176470588235295,0.15441176470588236,0.0,0.25735294117647056,0.029411764705882353,0.007352941176470588,Comedy,0.4632352941176471
1990,0.29545454545454547,0.17424242424242425,0.030303030303030304,0.36363636363636365,0.22727272727272727,0.007575757575757576,0.45454545454545453,0.09090909090909091,0.09848484848484848,0.007575757575757576,0.030303030303030304,0.19696969696969696,0.015151515151515152,0.10606060606060606,0.14393939393939395,0.13636363636363635,0.007575757575757576,0.3484848484848485,0.015151515151515152,0.022727272727272728,Drama,0.45454545454545453
1991,0.2932330827067669,0.15789473684210525,0.022556390977443608,0.45112781954887216,0.15037593984962405,0.022556390977443608,0.47368421052631576,0.15789473684210525,0.14285714285714285,0.022556390977443608,0.007518796992481203,0.09774436090225563,0.05263157894736842,0.06766917293233082,0.19548872180451127,0.09774436090225563,0.0,0.2781954887218045,0.015037593984962405,0.015037593984962405,Drama,0.47368421052631576
1992,0.2556390977443609,0.12781954887218044,0.03007518796992481,0.40601503759398494,0.18796992481203006,0.007518796992481203,0.48872180451127817,0.12030075187969924,0.10526315789473684,0.022556390977443608,0.03007518796992481,0.12030075187969924,0.045112781954887216,0.07518796992481203,0.23308270676691728,0.12030075187969924,0.0,0.3383458646616541,0.007518796992481203,0.015037593984962405,Drama,0.48872180451127817
1993,0.29775280898876405,0.14606741573033707,0.033707865168539325,0.4044943820224719,0.15730337078651685,0.0056179775280898875,0.5056179775280899,0.16292134831460675,0.07303370786516854,0.028089887640449437,0.0449438202247191,0.10112359550561797,0.033707865168539325,0.08426966292134831,0.19101123595505617,0.10112359550561797,0.0,0.25280898876404495,0.033707865168539325,0.016853932584269662,Drama,0.5056179775280899
1994,0.33152173913043476,0.1793478260869565,0.043478260869565216,0.4782608695652174,0.14130434782608695,0.010869565217391304,0.45108695652173914,0.19021739130434784,0.13043478260869565,0.016304347826086956,0.016304347826086956,0.07065217391304347,0.016304347826086956,0.05434782608695652,0.19021739130434784,0.10869565217391304,0.02717391304347826,0.24456521739130435,0.016304347826086956,0.043478260869565216,Comedy,0.4782608695652174
1995,0.27011494252873564,0.1839080459770115,0.040229885057471264,0.3620689655172414,0.1781609195402299,0.011494252873563218,0.5344827586206896,0.1896551724137931,0.09770114942528736,0.011494252873563218,0.040229885057471264,0.10919540229885058,0.0,0.08045977011494253,0.21264367816091953,0.10344827586206896,0.005747126436781609,0.28160919540229884,0.028735632183908046,0.017241379310344827,Drama,0.5344827586206896
